Nr,Gebiet,gehört zu,Bundesland,Label
1,Flensburg – Schleswig,1,Schleswig-Holstein,Western Germany
2,Nordfriesland – Dithmarschen Nord,1,Schleswig-Holstein,Western Germany
3,Steinburg – Dithmarschen Süd,1,Schleswig-Holstein,Western Germany
4,Rendsburg-Eckernförde,1,Schleswig-Holstein,Western Germany
5,Kiel,1,Schleswig-Holstein,Cities
6,Plön – Neumünster,1,Schleswig-Holstein,Western Germany
7,Pinneberg,1,Schleswig-Holstein,Western Germany
8,Segeberg – Stormarn-Mitte,1,Schleswig-Holstein,Western Germany
9,Ostholstein – Stormarn-Nord,1,Schleswig-Holstein,Western Germany
10,Herzogtum Lauenburg – Stormarn-Süd,1,Schleswig-Holstein,Western Germany
11,Lübeck,1,Schleswig-Holstein,Western Germany
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,13,Mecklenburg-Vorpommern,Eastern Germany
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,13,Mecklenburg-Vorpommern,Eastern Germany
14,Rostock – Landkreis Rostock II,13,Mecklenburg-Vorpommern,Eastern Germany
15,Vorpommern-Rügen – Vorpommern-Greifswald I,13,Mecklenburg-Vorpommern,Eastern Germany
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,13,Mecklenburg-Vorpommern,Eastern Germany
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,13,Mecklenburg-Vorpommern,Eastern Germany
18,Hamburg-Mitte,2,Hamburg,Cities
19,Hamburg-Altona,2,Hamburg,Cities
20,Hamburg-Eimsbüttel,2,Hamburg,Cities
21,Hamburg-Nord,2,Hamburg,Cities
22,Hamburg-Wandsbek,2,Hamburg,Cities
23,Hamburg-Bergedorf – Harburg,2,Hamburg,Cities
24,Aurich – Emden,3,Niedersachsen,Western Germany
25,Unterems,3,Niedersachsen,Western Germany
26,Friesland – Wilhelmshaven – Wittmund,3,Niedersachsen,Western Germany
27,Oldenburg – Ammerland,3,Niedersachsen,Western Germany
28,Delmenhorst – Wesermarsch – Oldenburg-Land,3,Niedersachsen,Western Germany
29,Cuxhaven – Stade II,3,Niedersachsen,Western Germany
30,Stade I – Rotenburg II,3,Niedersachsen,Western Germany
31,Mittelems,3,Niedersachsen,Western Germany
32,Cloppenburg – Vechta,3,Niedersachsen,Western Germany
33,Diepholz – Nienburg I,3,Niedersachsen,Western Germany
34,Osterholz – Verden,3,Niedersachsen,Western Germany
35,Rotenburg I – Heidekreis,3,Niedersachsen,Western Germany
36,Harburg,3,Niedersachsen,Western Germany
37,Lüchow-Dannenberg – Lüneburg,3,Niedersachsen,Western Germany
38,Osnabrück-Land,3,Niedersachsen,Western Germany
39,Stadt Osnabrück,3,Niedersachsen,Western Germany
40,Nienburg II – Schaumburg,3,Niedersachsen,Western Germany
41,Stadt Hannover I,3,Niedersachsen,Cities
42,Stadt Hannover II,3,Niedersachsen,Cities
43,Hannover-Land I,3,Niedersachsen,Western Germany
44,Celle – Uelzen,3,Niedersachsen,Western Germany
45,Gifhorn – Peine,3,Niedersachsen,Western Germany
46,Hameln-Pyrmont – Holzminden,3,Niedersachsen,Western Germany
47,Hannover-Land II,3,Niedersachsen,Western Germany
48,Hildesheim,3,Niedersachsen,Western Germany
49,Salzgitter – Wolfenbüttel,3,Niedersachsen,Western Germany
50,Braunschweig,3,Niedersachsen,Cities
51,Helmstedt – Wolfsburg,3,Niedersachsen,Western Germany
52,Goslar – Northeim – Osterode,3,Niedersachsen,Western Germany
53,Göttingen,3,Niedersachsen,Western Germany
54,Bremen I,4,Bremen,Cities
55,Bremen II – Bremerhaven,4,Bremen,Cities
56,Prignitz – Ostprignitz-Ruppin – Havelland I,12,Brandenburg,Eastern Germany
57,Uckermark – Barnim I,12,Brandenburg,Eastern Germany
58,Oberhavel – Havelland II,12,Brandenburg,Eastern Germany
59,Märkisch-Oderland – Barnim II,12,Brandenburg,Eastern Germany
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,12,Brandenburg,Eastern Germany
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,12,Brandenburg,Eastern Germany
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,12,Brandenburg,Eastern Germany
63,Frankfurt (Oder) – Oder-Spree,12,Brandenburg,Eastern Germany
64,Cottbus – Spree-Neiße,12,Brandenburg,Eastern Germany
65,Elbe-Elster – Oberspreewald-Lausitz II,12,Brandenburg,Eastern Germany
66,Altmark,15,Sachsen-Anhalt,Eastern Germany
67,Börde – Jerichower Land,15,Sachsen-Anhalt,Eastern Germany
68,Harz,15,Sachsen-Anhalt,Eastern Germany
69,Magdeburg,15,Sachsen-Anhalt,Eastern Germany
70,Dessau – Wittenberg,15,Sachsen-Anhalt,Eastern Germany
71,Anhalt,15,Sachsen-Anhalt,Eastern Germany
72,Halle,15,Sachsen-Anhalt,Eastern Germany
73,Burgenland – Saalekreis,15,Sachsen-Anhalt,Eastern Germany
74,Mansfeld,15,Sachsen-Anhalt,Eastern Germany
75,Berlin-Mitte,11,Berlin,Cities
76,Berlin-Pankow,11,Berlin,Cities
77,Berlin-Reinickendorf,11,Berlin,Cities
78,Berlin-Spandau – Charlottenburg Nord,11,Berlin,Cities
79,Berlin-Steglitz-Zehlendorf,11,Berlin,Cities
80,Berlin-Charlottenburg-Wilmersdorf,11,Berlin,Cities
81,Berlin-Tempelhof-Schöneberg,11,Berlin,Cities
82,Berlin-Neukölln,11,Berlin,Cities
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,11,Berlin,Cities
84,Berlin-Treptow-Köpenick,11,Berlin,Cities
85,Berlin-Marzahn-Hellersdorf,11,Berlin,Cities
86,Berlin-Lichtenberg,11,Berlin,Cities
87,Aachen I,5,Nordrhein-Westfalen,Cities
88,Aachen II,5,Nordrhein-Westfalen,Western Germany
89,Heinsberg,5,Nordrhein-Westfalen,Western Germany
90,Düren,5,Nordrhein-Westfalen,Western Germany
91,Rhein-Erft-Kreis I,5,Nordrhein-Westfalen,Western Germany
92,Euskirchen – Rhein-Erft-Kreis II,5,Nordrhein-Westfalen,Western Germany
93,Köln I,5,Nordrhein-Westfalen,Cities
94,Köln II,5,Nordrhein-Westfalen,Cities
95,Köln III,5,Nordrhein-Westfalen,Cities
96,Bonn,5,Nordrhein-Westfalen,Cities
97,Rhein-Sieg-Kreis I,5,Nordrhein-Westfalen,Western Germany
98,Rhein-Sieg-Kreis II,5,Nordrhein-Westfalen,Western Germany
99,Oberbergischer Kreis,5,Nordrhein-Westfalen,Western Germany
100,Rheinisch-Bergischer Kreis,5,Nordrhein-Westfalen,Western Germany
101,Leverkusen – Köln IV,5,Nordrhein-Westfalen,Cities
102,Wuppertal I,5,Nordrhein-Westfalen,Cities
103,Solingen – Remscheid – Wuppertal II,5,Nordrhein-Westfalen,Cities
104,Mettmann I,5,Nordrhein-Westfalen,Cities
105,Mettmann II,5,Nordrhein-Westfalen,Western Germany
106,Düsseldorf I,5,Nordrhein-Westfalen,Cities
107,Düsseldorf II,5,Nordrhein-Westfalen,Cities
108,Neuss I,5,Nordrhein-Westfalen,Western Germany
109,Mönchengladbach,5,Nordrhein-Westfalen,Cities
110,Krefeld I – Neuss II,5,Nordrhein-Westfalen,Western Germany
111,Viersen,5,Nordrhein-Westfalen,Western Germany
112,Kleve,5,Nordrhein-Westfalen,Western Germany
113,Wesel I,5,Nordrhein-Westfalen,Western Germany
114,Krefeld II – Wesel II,5,Nordrhein-Westfalen,Cities
115,Duisburg I,5,Nordrhein-Westfalen,Cities
116,Duisburg II,5,Nordrhein-Westfalen,Cities
117,Oberhausen – Wesel III,5,Nordrhein-Westfalen,Cities
118,Mülheim – Essen I,5,Nordrhein-Westfalen,Cities
119,Essen II,5,Nordrhein-Westfalen,Cities
